;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
145;UAB;CUSA;;18;13;61.3;58.2;3.13;;-2.78;;-4.88;5.23;0.35;59.75;53.06;6.69
146;UC Davis;Big West;;15;16;64.8;64.0;0.87;;1.91;;0.22;0.02;0.24;58.87;54.81;4.06
147;Elon;CAA;;19;13;65.9;62.1;3.84;;0.65;;1.72;-1.61;0.11;56.90;50.95;5.95
148;Buffalo;MAC;;19;13;64.3;63.2;1.19;;-1.21;;0.74;-0.76;-0.02;54.97;49.84;5.13
149;Delaware;CAA;;15;17;61.7;61.0;0.63;;-0.72;;-1.79;1.70;-0.09;61.73;55.75;5.98
150;UTSA;CUSA;;16;15;59.9;58.7;1.19;;-1.32;;-5.54;5.41;-0.13;51.28;44.90;6.38
151;Arizona;Pac-12;;10;20;58.1;66.6;-8.50;;7.93;;-2.32;1.76;-0.57;53.99;50.04;3.95
152;St. Bonaventure;A-10;;15;15;59.6;59.8;-0.23;;-0.36;;-5.16;4.56;-0.59;56.63;51.32;5.31
153;Idaho;Big Sky;;14;15;68.8;59.6;9.14;;-1.71;;1.31;-1.95;-0.63;49.92;46.04;3.88
154;Illinois-Chicago;Horizon;;16;14;63.6;57.1;6.50;;-1.81;;-4.04;3.30;-0.74;49.63;46.01;3.63
155;New Mexico State;WAC;;22;8;72.0;61.6;10.33;;-6.48;;3.08;-4.21;-1.12;54.46;51.00;3.47
156;Indiana State;MVC;;17;13;61.5;58.5;3.03;;-2.16;;-3.98;2.82;-1.16;50.55;46.75;3.80
157;Xavier;Big East;;18;15;63.1;65.0;-1.85;;0.67;;-2.18;0.99;-1.18;59.04;55.45;3.59
158;Iona;MAAC;;15;15;69.0;66.3;2.77;;-3.97;;4.31;-5.51;-1.20;66.74;63.22;3.52
159;Cornell;Ivy;;15;13;58.6;57.9;0.68;;-1.90;;-5.86;4.64;-1.22;55.46;51.36;4.10
160;East Tennessee State;Southern;;21;12;68.1;64.5;3.55;;-4.93;;0.70;-2.09;-1.38;60.92;56.23;4.70
161;Cleveland State;Horizon;;19;13;70.3;66.9;3.38;;0.19;;3.99;-5.54;-1.54;58.37;55.26;3.11
162;San Jose State;MWC;;15;17;78.5;75.4;3.03;;-1.15;;12.36;-13.92;-1.57;54.11;52.00;2.11
163;Cal Poly;Big West;;15;14;67.3;67.0;0.31;;-1.90;;2.76;-4.35;-1.59;54.42;52.80;1.62
164;Cal State Bakersfield;WAC;;23;9;73.3;65.0;8.28;;-7.52;;5.68;-7.30;-1.62;57.07;55.10;1.96
165;North Dakota;Big Sky;;17;15;70.6;63.5;7.09;;-3.00;;1.80;-3.43;-1.63;53.27;50.99;2.28
166;Marshall;CUSA;;17;15;66.1;59.1;7.03;;-2.18;;-2.10;0.40;-1.71;54.98;51.07;3.91
167;Virginia Commonwealth;A-10;;16;14;62.2;61.7;0.57;;-2.32;;-3.56;1.80;-1.76;54.51;50.45;4.06
168;Yale;Ivy;;13;15;58.6;58.1;0.46;;0.07;;-5.56;3.78;-1.78;53.07;50.15;2.92
169;Samford;Southern;;15;15;59.4;56.2;3.20;;-2.98;;-6.28;4.48;-1.80;55.80;51.56;4.25
170;IUPUI;Summit;;15;16;66.9;61.2;5.74;;-1.26;;-2.00;0.08;-1.91;53.72;51.14;2.58
171;UT Arlington;Sun Belt;;17;13;59.0;51.2;7.77;;-4.26;;-8.90;6.82;-2.08;47.60;44.13;3.47
172;Western Illinois;Summit;;17;13;72.4;63.0;9.40;;-5.79;;2.85;-5.00;-2.15;55.90;53.90;2.00
173;Montana State;Big Sky;;15;15;67.9;61.1;6.77;;-0.78;;1.31;-3.47;-2.17;49.67;47.30;2.37
174;Louisiana;Sun Belt;;23;12;62.4;54.2;8.14;;-5.22;;-5.95;3.76;-2.19;48.65;44.99;3.65
175;Clemson;ACC;;9;21;58.9;71.1;-12.17;;9.80;;-2.07;-0.30;-2.37;58.59;57.28;1.31
176;Oral Roberts;Summit;;18;16;63.4;60.7;2.65;;0.24;;-3.56;1.18;-2.39;50.77;48.63;2.14
177;SIU Edwardsville;OVC;;19;12;69.7;65.3;4.35;;-6.83;;1.02;-3.50;-2.47;60.75;58.41;2.34
178;Bucknell;Patriot;;18;12;61.1;57.9;3.17;;-4.81;;-4.12;1.59;-2.53;58.44;55.43;3.01
179;William & Mary;CAA;;15;16;62.9;62.2;0.65;;-3.17;;-1.77;-0.76;-2.53;55.06;52.27;2.79
180;UCF;AAC;;9;21;62.9;68.9;-6.03;;3.42;;0.41;-3.02;-2.61;56.26;54.22;2.04
181;Southern Methodist;AAC;;7;23;55.5;66.1;-10.57;;7.91;;-4.52;1.86;-2.66;51.17;49.60;1.57
182;Stony Brook;AEC;;17;14;60.3;57.3;2.97;;-5.68;;-5.56;2.88;-2.68;62.69;60.09;2.61
183;Rhode Island;A-10;;17;13;57.9;59.3;-1.37;;-1.35;;-7.23;4.51;-2.71;53.84;51.83;2.00
184;Siena;MAAC;;22;13;61.7;59.3;2.40;;-5.21;;-5.29;2.48;-2.81;55.58;53.83;1.75
185;Troy;Sun Belt;;20;11;76.2;70.9;5.23;;-5.50;;10.32;-13.27;-2.95;56.35;53.88;2.47
186;Southern Illinois;MVC;;17;13;66.2;67.0;-0.83;;-2.14;;0.35;-3.32;-2.97;62.73;61.28;1.45
187;Northern Kentucky;A-Sun;;19;14;62.6;60.5;2.09;;-2.78;;-4.17;1.11;-3.06;53.98;52.52;1.46
188;Stephen F. Austin;Southland;;23;8;70.1;55.7;14.39;;-8.24;;0.51;-3.57;-3.07;53.11;50.05;3.06
189;Massachusetts;A-10;;12;18;60.8;64.9;-4.17;;1.03;;-1.93;-1.20;-3.13;56.68;55.81;0.87
190;Santa Clara;WCC;;11;18;65.7;60.4;5.28;;1.20;;0.03;-3.16;-3.13;44.48;45.21;-0.73
191;Furman;Southern;;19;14;68.2;59.5;8.61;;-3.99;;1.67;-4.83;-3.16;56.61;53.96;2.65
192;Nevada-Las Vegas;MWC;;13;17;70.3;71.7;-1.37;;-1.80;;4.77;-7.94;-3.16;51.77;51.50;0.27
193;Hartford;AEC;;16;17;58.5;58.3;0.27;;-1.82;;-6.42;3.21;-3.21;54.75;53.45;1.30
194;Mercer;Southern;;20;15;66.8;64.0;2.77;;-5.98;;0.01;-3.22;-3.21;63.75;61.05;2.70
195;Northern Illinois;MAC;;12;17;54.8;55.8;-1.00;;-2.27;;-10.32;7.05;-3.27;51.97;51.98;-0.01
196;Harvard;Ivy;;14;14;65.1;69.7;-4.57;;1.21;;2.59;-5.96;-3.37;62.52;60.60;1.92
197;Texas Southern;SWAC;;19;11;64.1;53.9;10.17;;-11.59;;-3.00;-0.62;-3.62;51.28;48.57;2.71
198;San Diego State;MWC;;12;19;31.0;;;;0.59;;-7.60;3.83;-3.77;;;
199;Cal State Fullerton;Big West;;13;19;59.7;60.8;-1.06;;-1.10;;-5.30;1.27;-4.03;54.49;56.56;-2.07
200;Navy;Patriot;;17;14;55.8;52.4;3.45;;-5.02;;-10.20;6.12;-4.08;51.41;51.24;0.17
201;Jacksonville State;OVC;;19;10;65.0;59.6;5.41;;-9.66;;-4.77;0.52;-4.25;56.02;54.88;1.14
202;Rice;CUSA;;9;21;61.9;63.4;-1.47;;-1.01;;-2.32;-1.99;-4.31;50.43;50.01;0.42
203;Kennesaw State;A-Sun;;17;13;63.4;62.5;0.90;;-5.24;;-3.92;-0.42;-4.34;59.19;58.53;0.65
204;Holy Cross;Patriot;;15;17;62.1;63.7;-1.63;;-2.74;;-2.57;-1.80;-4.37;56.65;56.48;0.17
205;La Salle;A-10;;15;16;62.0;65.2;-3.23;;-1.26;;-1.83;-2.66;-4.49;55.38;55.85;-0.47
206;UTEP;CUSA;;12;16;65.7;65.3;0.43;;-2.03;;0.50;-5.20;-4.70;54.98;55.58;-0.60
207;Robert Morris;NEC;;17;15;66.6;64.0;2.56;;-7.39;;-2.70;-2.14;-4.83;58.72;58.98;-0.26
208;Dartmouth;Ivy;;14;14;55.8;55.9;-0.14;;-2.22;;-8.28;3.13;-5.15;48.66;49.96;-1.30
209;Marquette;Big East;;9;22;67.4;77.9;-10.55;;5.38;;4.67;-9.84;-5.17;57.94;59.03;-1.10
210;Detroit Mercy;Horizon;;12;18;64.5;63.1;1.40;;-0.90;;-2.62;-2.64;-5.26;53.26;55.69;-2.43
211;Bryant;NEC;;22;9;70.6;66.2;4.42;;-9.72;;0.89;-6.20;-5.30;60.96;62.11;-1.16
212;Georgetown;Big East;;4;27;63.2;73.4;-10.19;;4.89;;0.76;-6.06;-5.30;56.05;57.28;-1.22
213;Providence;Big East;;6;24;60.6;70.2;-9.60;;4.18;;-3.45;-1.98;-5.42;55.06;56.77;-1.71
214;North Carolina A&T;MEAC;;20;11;60.9;45.8;15.06;;-10.08;;-8.69;3.15;-5.54;47.34;45.47;1.87
215;Tennessee State;OVC;;18;13;66.9;68.2;-1.32;;-4.23;;-1.37;-4.19;-5.55;54.28;54.91;-0.63
216;Niagara;MAAC;;14;17;62.7;62.5;0.23;;-5.83;;-3.28;-2.33;-5.61;57.15;59.29;-2.14
217;Central Connecticut State;NEC;;19;13;63.4;61.1;2.25;;-7.91;;-4.84;-0.82;-5.66;57.92;59.51;-1.59
218;Oakland;Horizon;;12;18;68.4;67.0;1.37;;0.10;;0.95;-6.71;-5.75;51.00;53.49;-2.49
219;Towson;CAA;;11;21;58.6;64.1;-5.47;;-0.33;;-5.74;-0.07;-5.80;56.22;59.21;-3.00
220;Lafayette;Patriot;;14;17;58.1;60.5;-2.39;;-3.46;;-5.19;-0.66;-5.85;55.27;57.57;-2.30
221;Belmont;OVC;;14;17;62.7;65.7;-3.00;;-2.98;;-4.84;-1.14;-5.98;56.32;58.59;-2.27
