;;;;;;;;;;;;;SRS;;;Adjusted;;
Rk;School;Conf;;AP Rank;W;L;Pts;Opp;MOV;;SOS;;OSRS;DSRS;SRS;ORtg;DRtg;NRtg
159;North Carolina A&T;CAA;;;20;11;64.6;56.3;8.29;;-4.91;;-3.92;3.29;-0.63;87.39;87.89;-0.50
160;Pennsylvania;Ivy;;;15;13;65.6;63.4;2.14;;0.83;;0.30;-1.05;-0.75;92.31;93.68;-1.38
161;Cal Poly;Big West;;;17;13;61.2;60.7;0.47;;-1.46;;-3.26;2.27;-0.99;88.16;89.69;-1.53
162;Western Kentucky;CUSA;;;15;17;64.4;63.5;0.88;;-0.02;;-1.03;0.05;-0.99;88.99;90.45;-1.45
163;Brown;Ivy;;;16;11;63.1;61.8;1.33;;-0.50;;-1.22;-0.01;-1.23;89.08;91.29;-2.21
164;Central Arkansas;A-Sun;;;21;11;65.8;58.8;7.03;;-5.64;;-2.89;1.52;-1.37;89.74;91.46;-1.71
165;Monmouth;CAA;;;21;9;64.0;58.0;6.00;;-6.26;;-3.19;1.76;-1.43;88.56;90.51;-1.96
166;Loyola (IL);A-10;;;15;16;62.8;63.3;-0.48;;-1.08;;-4.08;2.51;-1.57;90.19;91.66;-1.47
167;Louisiana Tech;CUSA;;;14;19;62.4;62.6;-0.24;;1.54;;-4.37;2.69;-1.69;89.31;91.05;-1.74
168;Louisiana;Sun Belt;;;17;14;58.4;59.0;-0.65;;0.38;;-9.87;7.90;-1.97;85.31;87.94;-2.63
169;Texas A&M-Corpus Christi;Southland;;;23;8;67.2;57.0;10.23;;-7.65;;-2.47;0.46;-2.02;86.51;89.23;-2.72
170;UC Davis;Big West;;;20;14;61.9;60.0;1.97;;-1.46;;-3.57;1.43;-2.14;88.43;91.27;-2.84
171;Northern Colorado;Big Sky;;;15;15;65.2;61.9;3.30;;-2.51;;-3.00;0.84;-2.16;90.70;93.57;-2.87
172;Florida International;CUSA;;;20;11;69.1;63.8;5.26;;-4.85;;0.71;-2.90;-2.19;88.96;92.26;-3.30
173;Arkansas State;Sun Belt;;;13;17;66.3;63.9;2.47;;-2.02;;-1.21;-1.02;-2.23;94.27;97.68;-3.41
174;Drexel;CAA;;;19;14;57.7;55.1;2.58;;-4.17;;-9.41;7.15;-2.26;88.28;91.31;-3.02
175;Appalachian State;Sun Belt;;;17;15;72.2;73.4;-1.25;;-1.19;;4.44;-6.88;-2.44;90.27;93.24;-2.97
176;Saint Mary's (CA);WCC;;;13;18;61.0;65.3;-4.26;;2.45;;-2.88;0.40;-2.48;93.22;97.17;-3.95
177;Albany (NY);AEC;;;25;6;61.3;50.9;10.39;;-10.35;;-8.19;5.54;-2.65;89.41;92.72;-3.30
178;Southeastern Louisiana;Southland;;;19;12;63.5;58.0;5.52;;-4.70;;-5.27;2.43;-2.84;84.70;88.47;-3.77
179;Air Force;MWC;;;15;17;63.3;66.3;-3.00;;0.85;;-1.44;-1.41;-2.85;88.90;93.20;-4.30
180;Fordham;A-10;;;12;17;62.4;62.2;0.28;;-0.63;;-2.36;-0.49;-2.85;88.70;92.73;-4.03
181;Nevada;MWC;;;16;16;64.3;65.0;-0.72;;-1.00;;-1.56;-1.31;-2.87;87.99;91.67;-3.68
182;San Diego;WCC;;;9;22;62.8;66.9;-4.06;;3.12;;-2.01;-0.87;-2.88;90.49;94.28;-3.79
